client_id,variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
3689424,Test,12.0,147.0,39,F,2.0,81831.54000000001,2.0,5.0
7475920,Test,12.0,152.0,34,F,2.0,132550.46,1.0,4.0
254604,Test,10.0,121.0,30,U,2.0,92156.17,2.0,5.0
1016968,Control,16.0,202.0,67,U,3.0,38328.17,4.0,7.0
1647318,Control,19.0,230.0,74,U,2.0,321951.58,5.0,8.0
5107764,Control,5.0,67.0,41,U,2.0,116640.82,2.0,5.0
7174933,Test,4.0,58.0,32,U,2.0,43229.53,2.0,5.0
7302525,Control,5.0,62.0,64,U,2.0,35198.83,2.0,5.0
9735541,Control,13.0,166.0,60,F,2.0,109262.42,6.0,9.0
5182699,Control,7.0,95.0,44,U,2.0,40828.69,6.0,9.0
8996677,Test,5.0,64.0,48,M,2.0,53874.64,6.0,9.0
3563683,Test,8.0,106.0,62,F,2.0,37215.11,6.0,9.0
7809063,Control,6.0,75.0,26,F,3.0,94038.4,3.0,6.0
9191817,Control,14.0,179.0,28,M,2.0,113625.51,6.0,9.0
338641,Control,12.0,150.0,35,F,2.0,30734.97,1.0,4.0
6339028,Control,16.0,195.0,64,U,2.0,135973.99,2.0,5.0
4319828,Test,27.0,325.0,70,M,3.0,389060.61,6.0,9.0
473108,Control,34.0,409.0,63,M,2.0,52002.06,3.0,6.0
8695761,Test,14.0,168.0,35,F,2.0,58868.78,3.0,6.0
5142424,Test,9.0,118.0,52,F,3.0,264788.33,0.0,3.0
6621142,Test,4.0,52.0,29,F,3.0,27724.24,3.0,6.0
3342852,Control,20.0,240.0,62,F,2.0,46669.28999999999,5.0,8.0
6459338,Control,17.0,211.0,72,U,2.0,94824.33,6.0,9.0
8607441,Test,15.0,186.0,52,F,2.0,322322.09,1.0,5.0
7777115,Test,8.0,103.0,38,U,2.0,51074.88,1.0,4.0
9063969,Control,8.0,106.0,69,F,2.0,441293.65,2.0,5.0
4760297,Test,16.0,195.0,52,M,2.0,165277.3,0.0,3.0
4908086,Control,9.0,116.0,23,F,2.0,32306.36,4.0,7.0
18549,Test,22.0,264.0,43,M,3.0,55374.98,4.0,7.0
7047016,Control,5.0,71.0,33,U,2.0,27608.72,1.0,6.0
4006955,Test,23.0,279.0,69,M,2.0,471433.37,5.0,8.0
7374569,Control,17.0,212.0,36,M,3.0,211826.05,2.0,5.0
3886052,Test,26.0,320.0,29,F,3.0,89339.89,5.0,8.0
7445170,Control,9.0,109.0,58,M,2.0,85795.57,1.0,4.0
4864953,Test,5.0,70.0,50,U,2.0,107597.15,0.0,3.0
7196077,Test,13.0,158.0,62,F,2.0,55593.05,4.0,7.0
8119900,Control,4.0,59.0,56,U,2.0,32895.42,1.0,4.0
8412648,Test,27.0,324.0,66,M,2.0,101299.02,6.0,9.0
1500813,Control,14.0,174.0,55,M,2.0,319742.07,4.0,7.0
2727788,Test,7.0,93.0,58,F,2.0,61774.02,1.0,4.0
9904400,Test,7.0,85.0,62,U,2.0,38570.76,6.0,9.0
6741190,Test,5.0,71.0,68,U,2.0,439946.36,6.0,9.0
6303834,Control,5.0,71.0,67,U,4.0,546185.8200000001,6.0,9.0
5399235,Test,20.0,241.0,30,F,2.0,55851.73,5.0,8.0
7362381,Test,18.0,227.0,57,M,3.0,636063.26,2.0,5.0
6132846,Test,8.0,103.0,22,M,2.0,125968.64,6.0,9.0
6406276,Control,16.0,194.0,54,M,2.0,42139.11,6.0,9.0
3980251,Control,17.0,206.0,72,F,2.0,68237.79999999999,5.0,8.0
3253038,Test,7.0,94.0,42,U,2.0,141734.4,0.0,3.0
5401809,Control,15.0,190.0,36,F,2.0,32615.06,6.0,9.0
2047305,Control,15.0,191.0,74,M,2.0,161132.36,6.0,9.0
6162060,Control,18.0,226.0,66,F,2.0,72547.91,1.0,4.0
4799313,Control,25.0,301.0,46,F,2.0,125776.66,0.0,3.0
9022088,Control,6.0,77.0,30,U,2.0,59777.76,2.0,5.0
5908562,Control,18.0,219.0,68,M,2.0,31624.74,2.0,6.0
8408846,Test,5.0,64.0,31,U,2.0,45198.58,1.0,4.0
7164466,Control,21.0,252.0,76,M,2.0,80425.04999999999,6.0,9.0
5428288,Test,15.0,189.0,38,F,2.0,34208.82,1.0,4.0
9038354,Control,19.0,237.0,58,F,2.0,95121.68,1.0,4.0
2768988,Test,8.0,96.0,64,U,2.0,40372.22,2.0,5.0
1535789,Test,13.0,159.0,58,F,2.0,444583.5,6.0,9.0
2227118,Test,13.0,166.0,55,M,3.0,1166120.24,4.0,7.0
143267,Test,4.0,59.0,18,U,2.0,37767.02,0.0,3.0
4302393,Control,21.0,255.0,66,M,4.0,246167.21,6.0,9.0
861720,Test,13.0,162.0,50,M,2.0,335242.88,3.0,6.0
3254156,Test,23.0,284.0,76,F,2.0,102653.69,0.0,4.0
9777140,Control,5.0,70.0,54,U,3.0,140053.47999999998,2.0,5.0
8362231,Test,5.0,70.0,56,U,3.0,47703.31,1.0,4.0
9489931,Test,8.0,99.0,54,M,2.0,28501.07,1.0,4.0
706243,Test,9.0,112.0,57,M,2.0,102884.58,6.0,9.0
5356141,Test,26.0,323.0,62,M,2.0,879492.51,6.0,9.0
5256980,Control,14.0,170.0,46,M,2.0,360983.59,3.0,6.0
7975145,Test,7.0,91.0,84,U,2.0,74839.33,5.0,8.0
6348972,Test,5.0,70.0,50,U,2.0,28922.85,3.0,6.0
329062,Test,13.0,157.0,64,F,3.0,107135.67,5.0,9.0
4431912,Test,16.0,197.0,76,F,2.0,56126.28,6.0,9.0
7693643,Control,25.0,304.0,25,F,2.0,29864.75,1.0,4.0
5678409,Control,4.0,59.0,28,U,4.0,105784.8,6.0,9.0
4681351,Test,23.0,286.0,57,F,3.0,55011.07,0.0,3.0
8142299,Test,12.0,152.0,46,M,2.0,186842.82,2.0,5.0
5638824,Test,26.0,313.0,75,M,2.0,102837.94,3.0,6.0
6405849,Test,4.0,58.0,44,U,2.0,41837.16,3.0,6.0
9518545,Test,15.0,186.0,44,F,2.0,80319.76999999999,1.0,4.0
4749118,Test,14.0,173.0,70,M,2.0,111220.9,5.0,8.0
3074522,Test,13.0,167.0,66,F,2.0,82632.7,3.0,6.0
1339409,Control,5.0,67.0,60,U,2.0,27362.45,0.0,3.0
9928912,Test,7.0,89.0,20,U,2.0,51176.51,6.0,9.0
7309277,Test,15.0,189.0,54,F,2.0,68298.81,6.0,9.0
5349590,Test,8.0,106.0,54,F,2.0,66255.39,0.0,3.0
9120611,Control,7.0,88.0,22,U,2.0,108862.75,3.0,6.0
1700375,Control,17.0,208.0,68,F,2.0,38890.52,0.0,3.0
5337249,Test,12.0,155.0,52,F,2.0,58628.5,2.0,5.0
3359276,Control,4.0,57.0,68,U,2.0,69454.75,0.0,3.0
8554018,Test,8.0,106.0,45,M,2.0,130528.29,5.0,8.0
8104990,Control,7.0,89.0,54,U,2.0,26826.86,0.0,3.0
68884,Test,29.0,359.0,80,F,2.0,122636.58,0.0,3.0
1813291,Test,12.0,155.0,72,F,2.0,65004.24,4.0,8.0
2492053,Control,5.0,65.0,67,U,2.0,118012.64,2.0,5.0
4292321,Test,22.0,271.0,60,M,4.0,485380.8,5.0,8.0
3519205,Test,4.0,59.0,18,U,2.0,33916.72,2.0,5.0
5466160,Test,4.0,59.0,39,F,3.0,58179.27,1.0,5.0
9761765,Test,9.0,109.0,23,M,2.0,39536.53,0.0,3.0
6966261,Control,4.0,56.0,20,U,2.0,25146.4,6.0,9.0
745787,Test,7.0,87.0,49,U,2.0,70153.17,4.0,7.0
7034253,Control,5.0,65.0,60,F,2.0,85846.86,2.0,5.0
9825338,Test,5.0,65.0,24,U,3.0,149539.22,6.0,9.0
4376143,Test,29.0,355.0,65,M,3.0,293288.19,6.0,9.0
9808929,Test,6.0,73.0,48,U,3.0,155545.34999999998,6.0,9.0
6469535,Control,17.0,211.0,42,M,2.0,97644.83,0.0,3.0
4999510,Control,8.0,102.0,52,U,2.0,26968.27,0.0,3.0
2344790,Control,7.0,94.0,44,U,2.0,53159.27,2.0,5.0
2526016,Test,5.0,70.0,54,U,2.0,57610.04,1.0,4.0
9023510,Control,10.0,131.0,24,F,2.0,38212.45,2.0,5.0
8612359,Test,14.0,178.0,35,F,3.0,74422.09,3.0,6.0
9302667,Test,24.0,290.0,31,F,3.0,375660.81,1.0,4.0
6886401,Control,4.0,58.0,59,F,2.0,44359.08,3.0,6.0
4314509,Test,13.0,166.0,47,U,2.0,45086.89,0.0,3.0
2731499,Control,4.0,57.0,36,U,2.0,26526.16,4.0,7.0
5913469,Test,23.0,276.0,90,F,2.0,352526.28,6.0,9.0
8748647,Control,13.0,159.0,64,F,2.0,89331.8,1.0,4.0
4736680,Control,8.0,96.0,56,U,2.0,33448.369999999995,1.0,4.0
2736219,Test,16.0,194.0,82,M,2.0,107268.02,1.0,4.0
2980446,Test,5.0,66.0,22,U,2.0,37218.19,1.0,4.0
401147,Test,15.0,189.0,68,F,2.0,59162.36,4.0,7.0
3531531,Test,13.0,159.0,33,M,2.0,45775.15,3.0,6.0
2282363,Test,16.0,193.0,56,M,2.0,1033579.72,6.0,9.0
5444568,Control,20.0,248.0,45,F,3.0,454322.73,4.0,7.0
5220791,Control,7.0,90.0,50,U,2.0,79594.45999999999,2.0,5.0
